iter	Passed	Remaining
0	1	175
1	3	173
2	5	163
3	6	148
4	7	150
5	9	149
6	11	146
7	12	144
8	14	143
9	15	140
10	17	139
11	19	140
12	20	137
13	22	135
14	23	133
15	25	132
16	26	130
17	28	128
18	29	127
19	31	124
20	32	121
21	33	118
22	34	115
23	35	113
24	36	110
25	37	108
26	39	105
27	40	103
28	41	101
29	42	99
30	43	97
31	44	95
32	45	93
33	47	91
34	48	89
35	49	88
36	50	86
37	51	84
38	52	82
39	53	80
40	54	78
41	54	75
42	55	73
43	56	71
44	57	69
45	58	68
46	58	66
47	59	64
48	60	63
49	61	61
50	62	60
51	63	58
52	64	57
53	65	55
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	79	33
70	80	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	86	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	92	15
86	94	14
87	95	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
