iter	Passed	Remaining
0	171	171728
1	173	86549
2	174	58151
3	178	44533
4	180	35881
5	181	30088
6	183	25970
7	184	22854
8	186	20483
9	187	18529
10	188	16923
11	189	15591
12	190	14455
13	195	13759
14	196	12917
15	197	12170
16	199	11510
17	200	10924
18	201	10392
19	202	9915
20	203	9484
21	204	9092
22	205	8740
23	208	8490
24	210	8192
25	211	7917
26	212	7659
27	213	7419
28	215	7208
29	216	7002
30	217	6807
31	224	6785
32	225	6609
33	226	6443
34	228	6299
35	229	6153
36	230	6009
37	232	5873
38	233	5741
39	239	5744
40	240	5631
41	242	5520
42	243	5414
43	244	5316
44	245	5219
45	247	5124
46	248	5030
47	251	4993
48	258	5016
49	259	4936
50	261	4857
51	262	4790
52	269	4809
53	270	4743
54	272	4683
55	273	4616
56	275	4551
57	276	4487
58	278	4441
59	282	4430
60	284	4375
61	285	4322
62	287	4268
63	288	4219
64	289	4171
65	291	4121
66	296	4129
67	297	4081
68	299	4034
69	300	3989
70	301	3942
71	302	3896
72	303	3852
73	304	3808
74	305	3767
75	306	3726
76	311	3737
77	312	3698
78	313	3659
79	315	3622
80	316	3585
81	317	3549
82	317	3508
83	318	3474
84	319	3441
85	320	3408
86	321	3375
87	325	3378
88	328	3361
89	329	3330
90	330	3300
91	331	3271
92	332	3242
93	333	3214
94	334	3186
95	335	3160
96	336	3134
97	341	3143
98	342	3118
99	343	3094
100	344	3070
101	345	3045
102	347	3022
103	348	2998
104	349	2977
105	350	2955
106	351	2933
107	352	2911
108	355	2903
109	356	2884
110	357	2865
111	359	2846
112	360	2827
113	362	2813
114	363	2794
115	364	2775
116	364	2754
117	368	2757
118	370	2740
119	371	2722
120	372	2704
121	373	2685
122	374	2668
123	375	2651
124	376	2634
125	377	2621
126	378	2604
127	380	2588
128	385	2604
129	387	2590
130	388	2574
131	389	2561
132	391	2549
133	393	2540
134	394	2526
135	395	2512
136	397	2502
137	400	2504
138	402	2490
139	403	2476
140	404	2462
141	405	2447
142	406	2438
143	408	2425
144	409	2413
145	410	2402
146	414	2407
147	416	2395
148	417	2383
149	418	2371
150	423	2380
151	424	2368
152	425	2356
153	426	2344
154	430	2348
155	431	2337
156	433	2325
157	434	2313
158	435	2302
159	436	2290
160	437	2277
161	438	2266
162	439	2254
163	440	2245
164	441	2234
165	446	2245
166	448	2235
167	449	2225
168	450	2214
169	451	2204
170	452	2194
171	453	2183
172	454	2173
173	455	2163
174	456	2153
175	460	2154
176	461	2147
177	462	2138
178	464	2129
179	465	2119
180	466	2111
181	467	2103
182	469	2093
183	470	2084
184	471	2075
185	472	2066
186	476	2070
187	477	2061
188	478	2052
189	479	2043
190	480	2035
191	481	2026
192	482	2017
193	483	2008
194	484	2000
195	485	1991
196	486	1983
197	487	1975
198	492	1981
199	493	1973
200	494	1965
201	495	1957
202	496	1949
203	497	1941
204	498	1933
205	499	1925
206	500	1917
207	501	1909
208	502	1902
209	507	1908
210	508	1901
211	509	1893
212	510	1887
213	511	1879
214	512	1872
215	513	1865
216	515	1859
217	516	1852
218	517	1845
219	518	1837
220	520	1835
221	521	1828
222	523	1822
223	524	1815
224	525	1811
225	527	1806
226	529	1801
227	530	1796
228	536	1806
229	537	1800
230	538	1794
231	540	1790
232	542	1785
233	543	1780
234	545	1775
235	546	1769
236	551	1776
237	553	1771
238	554	1765
239	555	1759
240	556	1753
241	558	1747
242	559	1742
243	560	1736
244	562	1732
245	566	1736
246	567	1730
247	568	1724
248	570	1719
249	571	1713
250	572	1708
251	573	1703
252	575	1698
253	576	1692
254	583	1704
255	584	1699
256	585	1693
257	587	1688
258	588	1683
259	589	1677
260	590	1671
261	591	1666
262	595	1669
263	597	1665
264	598	1659
265	599	1654
266	600	1649
267	602	1644
268	603	1639
269	604	1634
270	605	1628
271	606	1623
272	610	1627
273	612	1623
274	613	1618
275	615	1613
276	616	1609
277	618	1605
278	619	1600
279	620	1594
280	621	1589
281	622	1584
282	625	1585
283	626	1580
284	628	1576
285	629	1572
286	631	1568
287	632	1563
288	633	1558
289	634	1553
290	640	1560
291	642	1556
292	643	1552
293	644	1547
